date,title,body
2004-11-02,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは1.1.3となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・設定保存を追加（初回起動時に自動的に読み込み）
・履歴にURL編集メニュー追加
・履歴からお気に入り追加ができるように変更
・文章ビューでニューロポインタ対応
・スクロールバーの色を変更
・ttp://のリンクを修正
・文章ビューのとき、左右キーでページスクロールするように変更
・チェックボックスのデータが正常に送られない不具合を修正
・AU版でのURL入力、編集で中止できない問題を修正"
2004-11-04,お知らせ,サーバエラーにより、一部繋がりにくい状況が発生しております。ご迷惑をお掛けして申し訳ございません。現在原因を調査・対応中でございます。
2004-11-05,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは1.1.4となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・画像アップ時の画像サイズを変更
・フォント中以上で時計がはみだす不具合を修正
・F900iTで文章ビューでタッチパネルがきかない不具合を修正
・フォント中以上でのチェックボックスの描画のずれを修正
・ホーム設定が空白で再ダウンロードしたときにお気に入りが復元されない不具合を修正"
2004-11-09,お知らせ,"2004年11月17日(水)AM 6:00 ～ AM 9:00の間、WebMoneyPREMIUMのシステムメンテナンスのためウォレット決済を含むWebMoneyPREMIUM関連サービス全体が停止いたします
※ 通常決済方法(プリペイド番号を入力する決済方法)は利用可能でございます。"
2004-11-10,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは1.1.5となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・お気に入りに表示順番を変えるための機能「１つ上へ」を追加
・カーソルが画面からはみ出る不具合を修正
・MENUの各画面にスクロールバーを追加
・設定保存を設定履歴保存に変更(設定･URL入力履歴･訪問履歴の保存)

Docomo版のみ
・縮小ビューで背景画像表示に関する不具合を修正
・URLバーコード読込で、ブックマーク形式のバーコードに対応
・画像保存の画像サイズに「表示画像サイズ」を追加

AU版のみ
・縮小ビューで赤枠が画面からはみ出る不具合を修正"
2004-11-12,お知らせ,2004-11-12 4:04、br1014.jig.jpにおいてハードウェア障害が発生し、そのサーバをお使いのお客様が正常にご利用いただけない状態となりました。6:07に復旧完了いたしました。ご迷惑おかけし申し訳ありませんでした。今後障害時の停止時間の短縮に努めます。
2004-11-18,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは1.1.6となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・[設定]にお気に入りPC管理機能追加
　お気に入りのPC上での編集・削除・追加、IEのお気に入りのインポートが可能になりました。
・ブラウザ画面のスクロールバーがタッチパネルに対応
・カーソル設定に「二度押し設定」の追加
・画像保存で任意のサイズに対応
・一部画面でタッチパネルに反応しない不具合を修正
・定額プランのとき、パケ代を表示しないように修正
・[設定]の項目を一部変更、「表示設定」項目内に移動"
2004-11-18,お知らせ,クレジットカードとWebMoneyのPCからのオンライン決済に対応しました。今までWebMoneyをご利用いただけなかったauの方にもご利用いただけます。PCでjigブラウザトップページ（ http://br.jig.jp/ ）にアクセスして、「jigブラウザとは？」→「オンライン決済」( http://br.jig.jp/pc/payment.html )より手続きを行なってください。
2004-11-25,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは2.0.2となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・RSSメニューで選択削除を選んだときにエラーが出る不具合を修正"
2004-11-25,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは2.0.1となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・料金プランで定額を設定しているときに、一瞬画面下部に料金が表示される不具合を修正
・ショートカットのRSSと履歴が入れ替わっている不具合を修正(AU版のみ)"
